Timestamp(s), A0 (C), A1 (C), A2 (C), A3 (C), A4 (C), A5 (C), A6 (C),,A0 mean,A0 std,A4 mean,A4 std,Delta T,Delta T/cm
0,18.81,18.83,19.08,18.98,19.13,19.65,19.25,,21.56003256,0.079623318,20.93144892,0.076440883,0.62858364,0.119726112
10,18.85,18.88,19.25,19.03,19.13,19.74,19.35,,,,,,,
20,18.91,18.71,19.19,19.03,19.15,19.58,19.34,,,,,,,
30,18.61,18.81,19.04,19.05,19.08,19.63,19.4,,,,,,,
40,18.92,18.82,19.15,19.09,19.13,19.46,19.37,,,,,,,
50,18.83,18.8,18.8,18.94,19.13,19.74,19.35,,,,,,,
60,18.88,19.05,19.08,19.08,19.06,19.7,19.4,,,,,,,
70,18.95,18.73,19.07,19.17,19.16,19.73,19.15,,,,,,,
80,18.92,18.81,19.03,18.98,19.14,19.6,19.45,,,,,,,
90,19.08,18.82,19.08,19.14,19.03,19.68,19.34,,,,,,,
100,19.21,18.95,19.15,19.22,19.06,19.59,19.35,,,,,,,
110,19.4,18.9,19.15,19.34,18.83,19.57,19.29,,,,,,,
120,19.46,19,19.21,19.18,19.09,19.63,19.38,,,,,,,
130,19.48,19.07,19.25,19.12,19.28,19.35,19.3,,,,,,,
140,19.6,19.12,19.33,19.35,19.2,19.55,19.4,,,,,,,
150,19.57,19.18,19.32,19.12,19.33,19.42,19.33,,,,,,,
160,19.53,19.25,19.43,19.33,19.17,19.39,19.4,,,,,,,
170,19.83,19.06,19.34,19.15,19.35,19.44,19.43,,,,,,,
180,19.65,19.2,19.34,19.25,19.35,19.48,19.38,,,,,,,
190,19.68,19.25,19.55,19.33,19.28,19.53,19.3,,,,,,,
200,19.72,19.39,19.5,19.27,19.29,20.13,19.43,,,,,,,
210,19.65,19.46,19.38,19.3,19.5,19.49,19.33,,,,,,,
220,19.83,19.2,19.33,19.27,19.08,19.51,19.21,,,,,,,
230,19.78,19.29,19.38,19.33,19.54,19.5,19.24,,,,,,,
240,19.93,19.3,19.48,19.27,19.4,19.33,19.26,,,,,,,
250,19.82,19.5,19.48,19.36,19.4,19.55,19.22,,,,,,,
260,19.78,19.34,19.43,19.41,19.63,19.43,19.25,,,,,,,
270,19.75,19.4,19.55,19.4,19.3,19.14,19.15,,,,,,,
280,19.89,19.45,19.55,19.45,19.38,19.16,19.04,,,,,,,
290,19.85,19.42,19.64,19.45,19.56,19.23,19.06,,,,,,,
300,19.93,19.51,19.53,19.4,19.57,19.13,19.15,,,,,,,
310,20.04,19.45,19.61,19.35,19.5,19.36,19.12,,,,,,,
320,19.99,19.46,19.62,19.44,19.5,19.25,19.02,,,,,,,
330,19.93,19.5,19.63,19.42,19.53,19.05,18.9,,,,,,,
340,19.92,19.77,19.68,19.38,19.45,19.12,18.9,,,,,,,
350,19.83,19.63,19.55,19.47,19.55,19.18,19.05,,,,,,,
360,20.02,19.45,19.6,19.5,19.52,18.96,19.18,,,,,,,
370,19.99,19.62,19.58,19.57,19.58,18.67,18.93,,,,,,,
380,20.15,19.53,19.69,19.42,19.59,18.78,19.03,,,,,,,
390,20.15,19.57,19.67,19.66,19.64,18.61,18.83,,,,,,,
400,19.96,19.49,19.7,19.6,19.58,18.75,18.9,,,,,,,
410,20.02,19.58,19.68,19.55,19.3,18.54,18.59,,,,,,,
420,20.07,19.63,19.68,19.78,19.64,18.56,18.71,,,,,,,
430,20.4,19.63,19.76,19.56,19.5,18.61,18.62,,,,,,,
440,20.03,19.66,19.76,19.58,19.72,18.54,18.68,,,,,,,
450,20.13,19.59,19.75,19.43,19.6,18.49,18.76,,,,,,,
460,20.08,19.65,19.78,19.65,19.68,18.59,18.76,,,,,,,
470,20.13,19.67,19.79,19.6,19.69,18.72,18.57,,,,,,,
480,20.2,19.7,19.76,19.63,19.68,18.69,18.7,,,,,,,
490,20.16,19.69,19.8,19.62,19.71,18.83,18.78,,,,,,,
500,20.14,19.66,19.84,19.73,19.68,18.71,18.71,,,,,,,
510,20.19,19.78,19.91,19.73,19.7,18.53,18.82,,,,,,,
520,20.19,19.58,19.96,19.67,19.6,18.63,18.86,,,,,,,
530,20.18,19.67,19.85,19.74,19.73,18.7,18.98,,,,,,,
540,20.21,19.77,19.85,19.75,19.7,18.72,18.81,,,,,,,
550,20.2,19.79,19.9,19.62,19.6,18.53,18.71,,,,,,,
560,20.48,19.65,19.95,19.62,19.74,18.59,18.72,,,,,,,
570,20.3,19.85,20.04,19.8,19.76,18.63,18.77,,,,,,,
580,20.23,19.89,19.91,19.84,19.79,18.62,18.89,,,,,,,
590,20.23,19.83,19.89,20.22,19.77,18.52,18.83,,,,,,,
600,20.31,19.83,19.94,19.88,19.78,18.55,18.71,,,,,,,
610,20.29,19.85,19.9,19.83,19.78,18.73,18.88,,,,,,,
620,20.37,19.82,19.95,19.55,19.78,18.66,18.93,,,,,,,
630,20.3,19.84,19.97,19.84,19.8,18.65,18.93,,,,,,,
640,20.34,19.86,20,19.85,19.83,18.64,18.8,,,,,,,
650,20.38,19.91,19.99,19.87,19.82,18.59,18.98,,,,,,,
661,20.27,19.92,20.11,19.89,19.78,18.42,18.73,,,,,,,
671,20.29,19.85,20,19.94,19.84,18.62,18.59,,,,,,,
681,20.27,19.93,20.03,19.91,19.95,18.43,18.67,,,,,,,
691,20.34,19.93,19.98,19.82,19.88,18.53,18.71,,,,,,,
701,20.44,20.04,20.13,19.92,19.87,18.53,18.64,,,,,,,
711,20.31,19.9,20.15,19.9,19.86,18.58,18.74,,,,,,,
721,20.39,19.98,20.09,20,19.93,18.53,18.7,,,,,,,
731,20.39,20.01,20.15,19.91,19.92,18.52,18.68,,,,,,,
741,20.37,19.95,20.07,19.95,19.95,18.53,18.66,,,,,,,
751,20.23,19.87,20.06,19.95,19.85,18.56,18.67,,,,,,,
761,20.43,20.03,20.19,20.03,19.94,18.63,18.68,,,,,,,
771,20.44,20.03,20.15,19.98,19.93,18.72,18.71,,,,,,,
781,20.48,19.95,20.16,20.05,20.03,18.65,18.73,,,,,,,
791,20.45,20.05,20.13,19.97,19.92,18.58,18.78,,,,,,,
801,20.39,20,20.11,20.07,19.98,18.57,18.95,,,,,,,
811,20.53,20.05,20.17,20.05,19.96,18.6,18.82,,,,,,,
821,20.44,20.05,20.2,20.04,20.05,18.52,18.75,,,,,,,
831,20.52,20.05,20.1,20,19.94,18.56,18.79,,,,,,,
841,20.65,20.03,20.23,20.03,19.83,18.57,18.74,,,,,,,
851,20.53,20.1,20.15,20.03,20,18.64,18.73,,,,,,,
861,20.5,20.08,20.17,20.18,19.96,18.6,18.84,,,,,,,
871,20.55,20.1,20.42,20.12,20.06,18.56,18.66,,,,,,,
881,20.5,20.07,20.28,19.98,19.98,18.92,18.63,,,,,,,
891,20.6,20,20.22,19.92,19.9,19,18.76,,,,,,,
901,20.57,20.05,20.18,20.09,19.89,19.19,18.88,,,,,,,
911,20.5,20.16,20.21,20.07,20.05,18.98,18.81,,,,,,,
921,20.62,20.18,20.2,20.08,19.98,19.13,18.79,,,,,,,
931,20.57,20.28,20.23,20.15,20.03,19.13,19.01,,,,,,,
941,20.47,20.19,20.33,20.08,20.13,19.12,18.99,,,,,,,
951,20.51,20.14,20.34,20.13,19.88,18.56,18.89,,,,,,,
961,20.55,20.15,20.25,20.16,20.11,18.77,18.82,,,,,,,
971,20.62,20.09,20.23,20.12,20.03,18.73,18.76,,,,,,,
981,20.64,20.1,20.11,20.12,19.97,18.84,18.74,,,,,,,
991,20.68,20.38,20.24,20.11,20.13,19.05,18.78,,,,,,,
1001,20.55,20.24,20.21,20.15,20.1,19.07,18.99,,,,,,,
1011,20.68,20.22,20.25,20.09,20.16,18.86,18.92,,,,,,,
1021,20.58,20.25,20.33,20.11,20.08,18.89,18.81,,,,,,,
1031,20.68,20.22,20.27,20.15,20.24,18.84,18.83,,,,,,,
1041,20.5,20.18,20.34,20.25,20.18,18.71,18.96,,,,,,,
1051,20.54,20.29,20.3,20.15,20.14,19.1,19.03,,,,,,,
1061,20.69,20.26,20.4,20.31,20.08,19.16,18.84,,,,,,,
1071,20.66,20.35,20.3,20.28,20.16,18.95,18.85,,,,,,,
1081,20.66,20.33,20.36,20.25,20.16,19.02,18.83,,,,,,,
1091,20.62,20.32,20.18,20.27,20.21,19.1,18.9,,,,,,,
1101,20.8,20.28,20.33,20.13,20.11,18.93,18.83,,,,,,,
1111,20.73,20.3,20.35,20.38,20.2,19.1,18.94,,,,,,,
1121,20.71,20.28,20.4,20.23,20.24,19.1,18.78,,,,,,,
1131,20.75,20.3,20.44,20.33,20.18,19.03,19.04,,,,,,,
1141,20.7,20.28,20.43,20.26,20.23,19,18.91,,,,,,,
1151,20.69,20.4,20.44,20.23,20.15,19.03,18.71,,,,,,,
1161,20.75,20.27,20.53,20.17,20.13,19.24,18.86,,,,,,,
1171,20.78,20.23,20.44,20.11,20.16,19.33,18.9,,,,,,,
