Timestamp(s), A0 (C), A1 (C), A2 (C), A3 (C), A4 (C), A5 (C), A6 (C),,A1 mean,A1 std,A4 mean ,A4 std
0,7.46,18.42,18.86,18.89,19,19.38,19.19,,21.03715239,0.098748741,20.93902022,0.103470023
10,7.69,18.46,18.81,18.87,18.86,19.38,18.99,,,,,
20,7.65,18.51,18.81,18.93,18.97,19.6,18.88,,,,,
30,7.93,18.53,18.91,18.78,18.96,19.5,19.2,,,,,
40,8.19,18.73,19.01,18.9,18.95,19.33,19.1,,,,,
50,8.26,18.66,18.96,18.95,18.98,19.43,18.95,,,,,
60,8.46,18.87,19,18.97,19.03,19.34,18.78,,,,,
70,8.46,18.76,18.85,18.98,19.05,19.31,18.9,,,,,
80,8.34,18.72,19,19.08,19.18,19.23,18.98,,,,,
90,8.59,18.91,19.05,19.06,19.13,19.1,19.18,,,,,
100,8.54,18.83,19.09,19.22,19.1,19.19,19.03,,,,,
110,8.59,19.04,19.1,19.15,19.15,19.21,18.98,,,,,
120,8.9,18.9,19.13,19.08,19.16,19.19,18.92,,,,,
130,8.6,18.63,19.14,19.05,19.16,19.2,18.98,,,,,
140,8.62,18.87,19.24,19.04,19.08,19.25,18.92,,,,,
150,8.94,18.99,19.23,19.11,19.07,19.35,19,,,,,
160,8.55,18.86,19.23,19.07,19.13,19.78,19.11,,,,,
170,8.71,18.92,19.22,19.15,19.21,19.59,19.17,,,,,
180,8.62,18.89,19.04,19.1,19.28,19.26,19.14,,,,,
190,8.77,18.96,19.05,19.05,19.2,19.03,19.05,,,,,
200,8.75,19.07,19.31,19.16,19.23,18.55,18.78,,,,,
210,8.75,19.04,19.22,19.12,19.25,19.03,18.65,,,,,
220,8.81,19,19.23,19.13,19.23,18.48,18.54,,,,,
230,9.04,19.13,19.29,19.25,19.28,17.9,18.04,,,,,
240,8.88,19.11,19.22,19.2,19.25,18.01,17.81,,,,,
250,9.04,19.21,19.21,19.23,19.33,18.03,18.39,,,,,
260,8.86,19.23,19.35,19.06,19.24,17.92,18.46,,,,,
270,8.9,19.45,19.32,19.13,19.29,17.39,18.16,,,,,
280,8.83,19.2,19.36,19.23,19.28,17.07,17.45,,,,,
290,8.89,19.14,19.4,18.95,19.4,17.26,17.48,,,,,
300,8.98,19.11,19.43,19.35,19.21,17.23,17.31,,,,,
310,8.96,19.23,19.5,19.32,19.12,17.06,17.06,,,,,
320,8.98,19.28,19.49,19.3,19.35,17.02,17.19,,,,,
330,9.15,19.08,19.46,19.33,19.28,16.96,16.93,,,,,
340,8.83,19.24,19.48,19.36,19.5,17.13,17.03,,,,,
350,9.04,19.35,19.38,19.05,19.25,17.1,17.14,,,,,
360,9.04,19.1,19.44,19.36,19.35,17.25,17,,,,,
370,9.61,19.24,19.57,19.21,19.3,17.09,17.07,,,,,
380,8.96,19.18,19.5,19.23,19.41,16.98,16.74,,,,,
390,9.14,19.26,19.48,19.53,19.41,17.46,17.24,,,,,
400,9.07,19.32,19.43,19.29,19.38,17.23,17.16,,,,,
410,8.78,19.3,19.5,19.38,19.37,17.56,17.23,,,,,
420,9.02,19.3,19.61,19.37,19.41,17.18,17.44,,,,,
430,9.4,19.4,19.59,19.45,19.41,16.79,17.06,,,,,
440,9.13,19.34,19.58,19.42,19.33,17.02,17.26,,,,,
450,9.22,19.47,19.67,19.77,19.46,17.2,17.19,,,,,
460,9.34,19.35,19.62,19.47,19.4,16.95,17.54,,,,,
470,9.39,19.5,19.67,19.48,19.47,16.87,17.36,,,,,
480,9.31,19.5,19.57,19.45,19.48,16.88,17.39,,,,,
490,9.22,19.41,19.75,19.48,19.43,17.33,17.46,,,,,
500,9.32,19.37,19.68,19.43,19.56,16.77,17.2,,,,,
510,9.32,19.4,19.7,19.38,19.5,16.76,17.26,,,,,
520,9.41,19.55,19.62,19.45,19.54,16.7,16.81,,,,,
530,9.33,19.48,19.68,19.55,19.5,17,16.85,,,,,
540,9.41,19.4,19.73,19.37,19.53,17.17,17,,,,,
550,9.37,19.48,19.81,19.63,19.48,17.22,17.29,,,,,
560,9.52,19.53,19.74,19.45,19.68,17.07,16.96,,,,,
570,9.29,19.49,19.68,19.53,19.49,16.75,16.8,,,,,
580,9.43,19.53,19.71,19.57,19.58,17.05,17.29,,,,,
590,9.31,19.55,19.88,19.62,19.55,16.83,16.79,,,,,
600,9.25,19.54,19.7,19.58,19.51,16.65,16.7,,,,,
610,9.4,19.61,19.73,19.56,19.56,16.65,17.19,,,,,
620,9.63,19.64,19.72,19.56,19.58,16.79,16.79,,,,,
630,9.55,19.78,19.76,19.53,19.55,17.21,16.94,,,,,
640,9.24,19.6,19.85,19.66,19.58,16.96,17.15,,,,,
650,9.46,19.59,19.7,19.66,19.69,16.76,17.08,,,,,
661,9.52,19.67,19.68,19.66,19.65,16.86,17.52,,,,,
671,9.52,19.72,19.82,19.67,19.57,17.06,17.93,,,,,
681,9.9,19.81,19.88,19.65,19.63,17.28,17.82,,,,,
691,9.57,19.66,19.83,19.65,19.58,17.36,18.22,,,,,
701,9.57,19.6,19.81,19.8,19.51,17.28,18.21,,,,,
711,9.73,19.64,19.84,19.72,19.65,17.26,18.21,,,,,
721,9.6,19.66,19.83,19.7,19.75,17.26,18.27,,,,,
731,9.6,19.66,19.75,19.67,19.68,17.58,18.42,,,,,
741,9.53,19.67,19.93,19.68,19.48,17.41,18.49,,,,,
751,9.69,19.73,19.9,19.5,19.66,17.46,18.43,,,,,
761,9.63,19.74,19.78,19.74,19.63,17.71,18.46,,,,,
771,9.75,19.7,19.89,19.65,19.72,17.81,18.35,,,,,
781,9.66,19.73,19.75,19.77,19.7,17.79,18.23,,,,,
791,9.95,19.59,19.93,19.82,19.58,18.13,18.47,,,,,
801,9.7,19.56,19.87,19.82,19.65,18.03,18.49,,,,,
811,9.75,19.75,19.78,19.9,19.72,18.13,18.55,,,,,
821,9.63,19.78,20.01,19.85,19.83,18.31,18.72,,,,,
