Timestamp(s), A0 (C), A1 (C), A2 (C), A3 (C), A4 (C), A5 (C), A6 (C),Time (min),,a0 mean,a0 std,a5 mean,a5 std,delta T,delta T/cm
0,18.59,18.58,18.25,18.77,-49.42,18.61,18.9,0,,25.07317507,0.982818766,22.80664688,0.848676053,2.26652819,0.431704854
10,19.02,18.71,18.87,18.83,-48.23,18.48,18.87,0.166666667,,,,,,,
20,19.3,18.78,18.71,18.93,-50.32,18.29,19.01,0.333333333,,,,,,,
30,19.42,18.75,19.1,18.94,-46.99,18.46,18.67,0.5,,,,,,,
40,19.45,19.02,19.01,18.88,-48.4,18.64,18.85,0.666666667,,,,,,,
50,19.48,18.96,19.16,19.15,-49.33,18.65,18.92,0.833333333,,,,,,,
60,19.67,19.04,19.07,19.07,-48.65,18.87,18.89,1,,,,,,,
70,19.89,19.2,19.2,19.07,-49.5,18.83,18.73,1.166666667,,,,,,,
80,19.63,19.15,19.18,19.16,-48.73,18.72,18.82,1.333333333,,,,,,,
90,19.76,19.07,19.1,18.95,-49.24,18.79,18.85,1.5,,,,,,,
100,19.68,19.19,19.2,19.11,-48.9,18.61,18.88,1.666666667,,,,,,,
110,19.69,19.15,19.41,19.12,-50.23,18.94,18.74,1.833333333,,,,,,,
120,19.9,19.03,19.17,19.14,-51.29,18.78,18.79,2,,,,,,,
130,19.84,19.18,19.18,19.19,-50.42,18.78,18.73,2.166666667,,,,,,,
140,19.66,19.34,19.32,19.22,-49.59,18.66,18.93,2.333333333,,,,,,,
150,19.9,19.18,19.41,19.23,-48.98,18.9,19.08,2.5,,,,,,,
160,19.65,19.67,19.64,19.27,-48.15,18.73,18.9,2.666666667,,,,,,,
170,19.87,19.33,19.4,19.3,-51.7,18.91,18.73,2.833333333,,,,,,,
180,20.1,19.23,19.38,19.21,-50.42,18.98,18.67,3,,,,,,,
190,20.1,19.42,19.27,19.28,-50.14,18.89,18.63,3.166666667,,,,,,,
200,20.08,19.39,19.28,19.25,-50.61,19.25,18.81,3.333333333,,,,,,,
210,19.96,19.58,19.47,19.25,-49.15,18.93,18.76,3.5,,,,,,,
220,20.19,19.81,19.43,19.41,-49.68,19.01,18.61,3.666666667,,,,,,,
230,20.27,19.53,19.58,19.44,-49.42,19,18.71,3.833333333,,,,,,,
240,20.33,19.53,19.59,19.48,-48.65,18.78,18.96,4,,,,,,,
250,20.35,19.63,19.33,19.5,-51.6,19.14,18.75,4.166666667,,,,,,,
260,20.35,19.52,19.61,19.38,-48.81,19.13,18.68,4.333333333,,,,,,,
270,20.38,19.58,19.73,19.48,-48.81,19.12,18.83,4.5,,,,,,,
280,20.49,19.68,19.69,19.46,-49.77,18.97,18.68,4.666666667,,,,,,,
290,20.57,19.72,19.91,19.59,-50.32,19.2,18.83,4.833333333,,,,,,,
300,20.64,19.79,19.74,19.57,-49.68,19.09,18.86,5,,,,,,,
310,20.58,19.85,19.77,19.56,-48.4,19.09,18.86,5.166666667,,,,,,,
320,20.66,19.93,19.94,19.7,-50.7,19.13,18.75,5.333333333,,,,,,,
330,20.93,20.08,20,19.62,-50.14,19,18.71,5.5,,,,,,,
340,21.25,20.06,20.04,19.81,-50.14,19.3,18.74,5.666666667,,,,,,,
350,21.27,20.14,20.05,19.85,-50.7,19.23,18.93,5.833333333,,,,,,,
360,21.42,20.16,20.08,19.74,-45.7,19.18,18.92,6,,,,,,,
370,21.12,20.27,20.13,19.95,-49.59,19.44,18.88,6.166666667,,,,,,,
380,21.46,20.36,20.15,20.03,-49.86,19.48,18.83,6.333333333,,,,,,,
390,21.28,20.33,20.23,19.97,-50.42,19.56,18.99,6.5,,,,,,,
400,21.34,20.23,20.31,19.88,-49.07,19.53,18.88,6.666666667,,,,,,,
410,21.46,20.24,20.1,20.03,-51.09,19.39,18.88,6.833333333,,,,,,,
420,21.51,20.43,20.3,19.69,-49.68,19.53,18.63,7,,,,,,,
430,21.6,20.32,20.26,20.11,-50.51,19.72,18.7,7.166666667,,,,,,,
440,21.49,20.53,20.37,20.08,-47.75,19.75,19.12,7.333333333,,,,,,,
450,21.49,20.47,20.33,20.16,-51,19.8,18.79,7.5,,,,,,,
460,21.54,20.47,20.57,20.23,-51.8,19.81,19.03,7.666666667,,,,,,,
470,21.69,20.64,20.56,20.15,-50.8,19.7,18.76,7.833333333,,,,,,,
480,22.34,20.73,20.41,20.22,-49.86,19.68,18.53,8,,,,,,,
490,21.96,20.78,20.66,20.24,-48.07,20.03,18.81,8.166666667,,,,,,,
500,21.95,20.87,20.7,20.24,-49.07,19.65,18.66,8.333333333,,,,,,,
510,21.94,20.92,20.3,20.32,-49.15,19.86,18.72,8.5,,,,,,,
520,22.02,20.87,20.37,20.46,-49.68,19.91,18.68,8.666666667,,,,,,,
530,22.21,20.95,20.86,20.55,-49.68,19.99,18.89,8.833333333,,,,,,,
540,22.21,21.01,20.98,20.5,-50.14,19.95,18.78,9,,,,,,,
550,22.24,21.02,21.02,20.56,-52.01,20,18.95,9.166666667,,,,,,,
560,22.29,21.1,20.88,20.6,-51.09,19.96,18.84,9.333333333,,,,,,,
570,22.28,20.94,20.94,20.75,-50.8,20.05,18.87,9.5,,,,,,,
580,22.41,21.33,21.08,20.71,-49.33,19.96,18.84,9.666666667,,,,,,,
590,22.44,21.18,21.02,20.73,-49.5,19.89,19.21,9.833333333,,,,,,,
600,22.4,21.38,21.08,20.63,-49.86,20.16,18.73,10,,,,,,,
610,22.52,21.38,21.13,20.78,-49.59,20.22,18.86,10.16666667,,,,,,,
620,22.59,21.28,21.05,20.87,-49.68,20.17,18.76,10.33333333,,,,,,,
630,22.54,21.3,21.12,20.95,-51.09,20.39,18.78,10.5,,,,,,,
640,22.5,21.46,21.04,21,-49.86,20.24,18.81,10.66666667,,,,,,,
650,22.65,21.56,21.24,20.68,-49.42,20.36,18.8,10.83333333,,,,,,,
661,22.67,21.53,21.61,20.6,-49.15,20.5,18.76,11.01666667,,,,,,,
671,22.7,21.51,21.25,20.98,-49.95,20.49,18.81,11.18333333,,,,,,,
681,22.33,21.58,21.4,21.05,-48.9,20.58,18.68,11.35,,,,,,,
691,22.71,21.6,21.52,21.03,-50.61,20.48,18.46,11.51666667,,,,,,,
701,22.73,21.66,21.13,21.05,-49.33,20.45,18.64,11.68333333,,,,,,,
711,22.75,21.71,21.46,21.13,-49.59,20.65,18.64,11.85,,,,,,,
721,22.84,21.56,21.41,21.29,-52.12,20.73,18.47,12.01666667,,,,,,,
731,22.86,21.78,21.44,21,-49.42,20.48,18.15,12.18333333,,,,,,,
741,22.73,21.88,21.54,21.18,-49.59,20.65,18.06,12.35,,,,,,,
751,23.04,21.68,21.59,21.34,-50.14,20.64,18.05,12.51666667,,,,,,,
761,22.81,21.78,21.71,21.3,-49.33,20.63,18.01,12.68333333,,,,,,,
771,23.01,21.84,21.7,21.3,-50.7,20.91,17.74,12.85,,,,,,,
781,23.06,21.88,21.71,21.29,-47.75,20.64,17.5,13.01666667,,,,,,,
791,22.91,21.76,21.71,21.41,-50.23,20.67,17.75,13.18333333,,,,,,,
801,23.01,21.91,21.87,21.61,-47.99,21.06,17.24,13.35,,,,,,,
811,23.09,21.73,21.77,21.2,-44.77,20.79,17.23,13.51666667,,,,,,,
821,23.1,22.04,21.89,21.39,-48.48,20.74,17.06,13.68333333,,,,,,,
831,23.11,21.98,21.81,21.44,-49.15,20.83,17.43,13.85,,,,,,,
841,23.14,22.09,22.06,21.45,-51.19,20.89,17.23,14.01666667,,,,,,,
851,23.22,21.89,21.92,21.51,-50.14,20.95,17.15,14.18333333,,,,,,,
861,23.19,22.42,21.99,21.63,-48.07,20.91,17.16,14.35,,,,,,,
871,23.22,22.23,22.06,21.7,-47.83,21.13,16.94,14.51666667,,,,,,,
881,23.29,22.29,22.04,21.56,-49.24,20.91,17.02,14.68333333,,,,,,,
891,23.26,22.12,22.04,21.52,-48.48,21.03,16.82,14.85,,,,,,,
901,23.19,22.17,22.09,21.71,-50.23,20.97,17.19,15.01666667,,,,,,,
911,23.31,22.24,21.96,21.68,-49.77,20.88,16.8,15.18333333,,,,,,,
921,23.34,21.61,22.1,21.69,-48.23,21.08,17.05,15.35,,,,,,,
931,23.43,22.26,22.24,21.62,-48.81,21.07,17.14,15.51666667,,,,,,,
941,23.31,22.4,22.22,21.73,-50.9,21.25,16.82,15.68333333,,,,,,,
951,23.56,22.42,22.06,21.81,-49.33,21.05,16.84,15.85,,,,,,,
961,23.43,22.51,22.07,21.82,-48.98,21.77,16.91,16.01666667,,,,,,,
971,23.42,22.3,22.21,21.78,-48.48,21.15,16.65,16.18333333,,,,,,,
981,23.39,22.33,22.27,21.92,-50.7,21.24,16.65,16.35,,,,,,,
991,23.66,22.34,22.24,21.83,-50.14,20.96,16.48,16.51666667,,,,,,,
1001,23.55,22.43,22.31,21.96,-49.59,21.11,16.8,16.68333333,,,,,,,
1011,23.61,22.52,22.27,21.92,-49.24,21.13,16.94,16.85,,,,,,,
1021,23.42,22.5,22.34,21.99,-51.29,21.3,16.92,17.01666667,,,,,,,
1031,23.6,22.39,22.45,21.93,-49.77,21.24,16.92,17.18333333,,,,,,,
1041,24.07,22.53,22.3,21.89,-48.73,21.19,16.91,17.35,,,,,,,
1051,23.53,22.63,22.34,21.71,-45.5,21.25,17.08,17.51666667,,,,,,,
1061,23.54,22.58,22.42,21.94,-50.42,21.25,16.76,17.68333333,,,,,,,
1071,23.61,22.57,22.31,21.96,-52.44,21.33,16.63,17.85,,,,,,,
1081,23.66,22.78,22.39,22.2,-48.9,21.41,16.68,18.01666667,,,,,,,
1091,23.66,22.72,22.42,22.15,-48.9,21.31,16.48,18.18333333,,,,,,,
1101,23.61,22.6,22.45,22.14,-49.24,21.3,16.77,18.35,,,,,,,
1111,23.71,22.63,22.45,22.18,-51.09,21.37,16.92,18.51666667,,,,,,,
1121,23.71,22.68,22.48,22.08,-49.15,21.36,16.64,18.68333333,,,,,,,
1131,23.81,22.59,22.29,22.13,-50.42,21.56,16.86,18.85,,,,,,,
1141,23.73,22.22,22.51,22.1,-49.24,21.39,16.66,19.01666667,,,,,,,
1151,23.71,22.82,22.56,22.22,-48.73,21.39,17.1,19.18333333,,,,,,,
1161,23.57,23.14,22.56,22.18,-50.32,21.51,16.8,19.35,,,,,,,
1171,23.87,22.78,22.5,22.22,-49.15,21.38,16.63,19.51666667,,,,,,,
1181,23.74,22.8,22.59,22.23,-47.29,21.43,17.11,19.68333333,,,,,,,
1191,23.74,22.86,22.55,22.22,-48.23,21.51,16.97,19.85,,,,,,,
1201,23.77,22.84,22.61,22.24,-49.33,21.56,17.21,20.01666667,,,,,,,
1211,23.77,22.88,22.72,22.24,-49.07,21.56,17.41,20.18333333,,,,,,,
1221,23.92,22.78,22.73,22.3,-48.15,21.52,17.59,20.35,,,,,,,
1231,23.9,22.89,22.68,22.28,-48.56,21.61,17.61,20.51666667,,,,,,,
1241,23.85,22.94,22.6,22.29,-47.83,21.68,17.51,20.68333333,,,,,,,
1251,23.91,22.82,22.65,22.36,-49.24,21.63,17.58,20.85,,,,,,,
1261,23.73,22.85,22.69,22.37,-48.81,21.48,17.8,21.01666667,,,,,,,
1271,23.8,23.24,22.75,22.31,-49.42,21.56,18.13,21.18333333,,,,,,,
1281,23.99,22.75,22.81,22.33,-48.23,21.53,17.76,21.35,,,,,,,
1291,23.97,22.93,22.83,22.33,-49.15,21.6,17.87,21.51666667,,,,,,,
1301,24.1,22.93,22.74,22.43,-49.59,21.83,17.95,21.68333333,,,,,,,
1311,23.82,23.02,22.82,22.32,-48.9,21.63,17.89,21.85,,,,,,,
1321,23.98,22.96,22.87,22.45,-51,21.75,17.91,22.01666667,,,,,,,
1332,23.93,22.94,22.78,22.45,-48.98,21.64,17.86,22.2,,,,,,,
1342,24.04,22.91,22.88,22.45,-50.23,21.69,17.92,22.36666667,,,,,,,
1352,24.07,23.15,22.81,22.44,-47.14,21.66,18.04,22.53333333,,,,,,,
1362,24.02,23.17,22.78,22.47,-51.19,21.72,18.06,22.7,,,,,,,
1372,23.9,23.01,22.74,22.5,-47.29,21.72,18.09,22.86666667,,,,,,,
1382,23.95,23.16,22.83,22.48,-50.05,21.85,18.12,23.03333333,,,,,,,
1392,24.21,23.13,22.94,22.45,-48.81,21.82,17.97,23.2,,,,,,,
1402,24.15,23.04,22.75,22.55,-48.9,21.77,18.08,23.36666667,,,,,,,
